SD_front,SD_left,SD_right,SD_back,Class
1.726,0.479,2.407,0.493,1
1.752,0.490,2.388,0.493,1
1.764,0.483,2.409,0.467,1
1.739,0.483,2.409,0.505,1
1.726,0.490,2.409,0.505,1
1.725,0.473,2.409,0.468,1
1.749,0.492,2.405,0.496,1
1.732,0.480,2.383,0.512,1
0.805,0.477,2.436,0.493,2
0.809,0.496,2.415,0.525,2
0.800,0.508,2.409,0.508,2
0.806,0.489,2.423,0.541,2
0.762,0.511,2.378,0.523,2
0.822,0.514,2.360,0.552,2
0.799,0.517,2.419,0.527,2
0.834,0.516,2.382,0.512,2
0.813,0.509,1.756,0.524,2
0.801,0.516,1.810,0.524,2
0.817,0.509,1.753,0.524,2
0.889,0.522,1.777,0.537,2
0.853,0.514,1.794,0.537,2
0.850,0.499,1.773,0.511,2
0.985,0.498,1.775,0.511,1
1.322,0.504,1.818,0.511,1
1.691,0.517,1.820,0.534,1
1.677,0.509,1.806,0.503,1
1.702,0.515,1.771,0.529,1
1.713,0.516,1.801,0.546,1
1.687,0.516,1.819,0.544,1
1.700,0.516,1.762,0.506,1
1.674,0.516,1.784,0.544,1
1.712,0.516,1.822,0.519,1
1.698,0.516,1.820,0.545,1
1.694,0.515,1.802,0.522,1
1.676,0.507,1.798,0.550,1
1.670,0.500,1.789,0.529,1
1.650,0.500,2.671,0.521,1
1.661,0.499,2.683,0.552,1
1.655,0.505,1.795,0.558,1
0.641,0.512,1.783,0.538,2
1.633,0.491,1.775,0.582,1
1.611,0.505,1.767,0.577,1
1.639,0.504,1.740,0.587,1
1.592,0.497,1.750,0.581,1
1.231,0.497,1.687,0.572,1
1.232,0.511,2.616,0.621,1
1.211,0.491,2.591,0.590,1
1.228,0.491,2.642,0.633,1
1.182,0.498,2.582,0.646,1
1.213,0.505,2.598,0.654,1
1.205,0.499,2.631,0.652,1
1.516,0.506,2.583,0.636,1
1.168,0.500,2.577,0.665,1
1.522,0.507,2.596,0.648,1
1.500,0.508,3.014,0.656,1
1.477,0.509,2.989,0.651,1
1.493,0.527,2.965,0.655,1
1.483,0.526,2.960,0.667,1
1.474,0.513,2.992,0.639,1
1.451,0.505,2.989,0.654,1
1.442,0.506,2.946,0.726,1
1.432,0.521,2.918,0.696,1
1.422,0.516,2.932,0.717,1
1.400,0.532,2.965,0.738,1
1.393,0.514,2.943,0.759,1
1.409,0.523,2.937,0.756,0
1.369,0.539,2.911,0.765,0
1.372,0.533,2.943,0.786,0
1.375,0.535,2.899,0.770,0
1.350,0.538,2.929,0.781,0
1.362,0.541,2.904,0.793,0
1.348,0.552,2.894,0.820,0
1.295,0.535,2.883,0.835,0
1.304,0.554,2.833,0.825,0
1.300,0.566,2.860,0.858,0
1.283,0.571,2.809,0.649,0
1.253,0.555,2.854,0.685,0
1.222,0.582,2.802,0.923,0
1.204,0.589,2.769,0.942,0
1.198,0.588,2.755,0.961,0
1.153,0.587,2.779,0.968,0
1.171,0.608,2.765,0.975,0
1.152,0.607,2.731,1.007,0
1.095,0.600,2.737,1.051,0
1.076,0.606,2.704,1.070,0
1.071,0.620,2.668,1.051,0
1.053,0.633,2.655,1.069,0
1.048,0.647,2.680,1.103,0
1.031,0.646,2.686,1.109,0
1.025,0.653,2.655,1.126,0
0.996,0.666,2.661,1.182,0
0.953,0.652,2.630,1.199,0
0.963,0.672,2.580,1.188,2
0.958,0.686,2.586,1.193,2
0.941,0.693,2.574,1.223,2
0.886,0.678,2.581,1.257,2
0.869,0.694,2.588,1.249,2
0.880,0.682,2.558,1.302,2
0.866,0.708,2.529,1.317,2
0.844,0.690,2.525,1.313,2
0.844,0.692,2.565,1.299,2
0.872,0.693,2.563,1.317,2
0.861,0.706,2.547,1.277,2
0.873,0.685,2.589,1.303,2
0.861,0.685,2.578,1.316,2
0.876,0.684,2.591,1.290,2
0.864,0.684,2.557,1.315,2
0.875,0.684,2.523,1.290,2
0.838,0.698,2.558,1.315,2
0.875,0.697,2.544,1.306,2
0.862,0.700,2.797,0.795,2
0.857,0.691,1.467,0.793,2
0.868,0.718,1.428,0.790,2
0.842,0.715,1.428,0.784,2
0.841,0.701,2.824,0.770,2
0.853,0.680,2.803,0.843,2
0.839,0.700,2.862,0.734,2
0.825,0.695,2.804,0.727,2
0.862,0.706,1.447,0.842,2
0.840,0.758,1.421,0.778,2
0.839,0.853,1.459,0.715,2
0.842,0.806,1.458,0.746,2
0.891,0.709,1.436,0.718,2
0.884,0.836,1.436,0.699,2
0.863,0.832,1.453,0.697,2
0.862,0.831,1.422,0.685,2
0.852,0.888,1.378,0.685,2
0.830,0.827,1.428,0.722,2
0.846,0.813,1.403,0.715,2
0.866,0.821,1.401,0.674,2
0.919,0.796,1.421,0.683,2
1.632,0.801,1.422,0.665,0
1.670,0.790,1.462,0.702,0
1.645,0.806,1.445,0.676,0
1.632,0.792,1.466,0.675,0
1.657,0.790,1.449,0.663,0
1.656,0.783,1.430,0.665,0
1.655,0.783,1.464,0.692,0
1.627,0.797,1.408,0.694,0
1.625,0.785,1.470,0.710,0
1.641,0.779,1.469,0.692,0
1.605,0.780,1.475,0.714,0
1.607,0.771,1.442,0.713,0
1.009,0.765,1.429,0.739,0
1.577,0.759,1.492,0.727,0
1.585,0.753,1.479,0.743,0
1.533,0.747,1.447,0.786,0
1.550,0.748,1.472,0.790,0
1.493,0.742,1.459,0.821,0
1.503,0.734,1.465,0.814,0
1.484,0.734,1.471,0.846,0
1.476,0.714,1.481,0.890,0
1.418,0.731,1.507,0.910,0
1.435,0.724,1.532,0.892,0
1.390,0.707,1.539,0.912,0
1.394,0.700,1.566,0.933,0
0.968,0.697,1.558,0.966,2
1.341,0.679,1.547,0.974,0
1.294,0.679,1.639,1.020,0
1.285,0.665,1.613,1.052,0
1.289,0.668,1.622,1.034,0
